,feature1 ,feature2,label,
1,4.8,1.4,-1,0.989123328
1,4.4,1.3,-1,0.146914899
1,5.6,4.2,1,0.58757037
1,5.1,1.9,-1,0.798232647
1,5.7,4.1,1,0.283219742
1,6.2,4.3,1,0.010902458
1,5,1.4,-1,0.945918447
1,4.5,1.3,-1,0.289866689
1,5.7,4.2,1,0.930803773
1,5.5,4.4,1,0.207390412
1,5.3,1.5,-1,0.294441433
1,4.6,1.4,-1,0.296382433
1,5.8,4,1,0.270547947
1,5,1.3,-1,0.145510693
1,5,3.3,1,0.114983979
1,5.7,4.2,1,0.395542629
1,6.1,4.6,1,0.031798446
1,5.1,3,1,0.30866261
1,5.1,1.6,-1,0.408827877
1,5,1.6,-1,0.48057535
